lon,lat,alt
119.5790296,32.40263431,8.501173679
119.5790374,32.40260515,8.453109466
119.5790421,32.40256935,8.40342795
119.5790593,32.40253092,8.326965955
119.5790687,32.40251369,8.289493155
119.5790734,32.40249645,8.260933104
119.5790812,32.40248053,8.227926027
119.5790891,32.40244999,8.178267599
119.5790938,32.40242077,8.136061967
119.5791063,32.40238889,8.075945367
119.5791094,32.40236231,8.039715793
119.5791141,32.4023397,8.005037085
119.5791235,32.4023305,7.976690787
119.579122,32.40230388,7.949356094
119.5791282,32.40227062,7.899553436
119.5791345,32.40224266,7.855797862
119.5791455,32.40220804,7.795504609
119.5791471,32.40219073,7.772805005
119.5791565,32.40217874,7.741257265
119.579169,32.40214676,7.680966271
119.5791832,32.40213076,7.635888423
119.5792225,32.40211876,7.576896434
119.5792178,32.40210009,7.608246295
119.579191,32.40208409,7.654380547
119.5791722,32.40206544,7.697726383
119.5791581,32.40205342,7.727312453
119.5791282,32.40203611,7.778021385
119.5790921,32.40202014,7.832095612
119.5790639,32.40200019,7.885326991
119.5790629,32.40197402,7.924506725
119.5790582,32.40195274,7.959661512
119.5790676,32.40191284,8.009922485
119.5790833,32.40187827,8.046719576
119.5791116,32.40184636,8.068888303
119.5791618,32.40184232,8.031679631
119.5791822,32.4018423,8.014202559
119.5792088,32.40184228,7.991350077
119.5792402,32.40183161,7.979930622
119.5792716,32.40181165,7.982042839
119.5792873,32.40179037,7.99952915
119.5793063,32.40175108,8.040358792
119.5792772,32.40172421,8.104397826
119.5792349,32.40170856,8.163454838
119.5792138,32.40167275,8.233692286
119.5792164,32.40163693,8.283531844
119.5792243,32.40157651,8.364638829
119.5792772,32.40156751,8.33239933
119.5793247,32.40156075,8.301427239
119.5793697,32.40154952,8.279227973
119.5794199,32.4015271,8.26878913
119.5794463,32.40151591,8.284318782
119.5794674,32.40150475,8.323104917
119.5794832,32.40148017,8.375760054
119.5794805,32.40146005,8.402275428
119.5794489,32.40146797,8.356835521
119.5793933,32.40141616,8.448063999
119.5793616,32.4013961,8.504723585
119.5793378,32.40136708,8.567475302
119.5793229,32.40134105,8.61848254
119.5793149,32.40127184,8.726871899
119.5793545,32.40122937,8.752851743
119.5794126,32.40122482,8.709024535
119.5794653,32.40122037,8.72973558
119.5795207,32.4011848,8.840518863
119.5795491,32.40117008,8.892147957
119.5795655,32.40114522,8.945485093
119.5795784,32.4011303,8.98070806
119.5795701,32.40111339,8.996380325
119.5795396,32.40109448,8.991265722
119.5795032,32.40105468,9.010947056
119.5794845,32.40101194,9.052810817
119.5794727,32.40099008,9.071963581
119.5794681,32.40096922,9.097147579
119.5794458,32.40092057,9.143855652
119.5794751,32.40085697,9.121168851
119.5794774,32.40082924,9.20544953
119.5794915,32.40081223,9.118107822
119.5795079,32.40080221,9.051936966
119.579529,32.40079116,8.973469849
119.5795642,32.40078206,8.876487938
119.5795924,32.40077599,8.803228843
119.5796206,32.40076589,8.715309726
119.5796172,32.40073283,8.610749126
119.5795924,32.40071815,8.765609346
119.5795642,32.4007055,8.932525259
119.5795384,32.40066911,9.145191297
119.5795067,32.40060857,9.157267074
119.5795114,32.4005608,9.097402202
119.5795325,32.40054296,9.135260432
119.5795794,32.40052324,9.250216235
119.5796285,32.4004636,9.205433888
119.5796449,32.4004308,9.205360434
119.579647,32.40042437,9.212843782
119.5796395,32.4004176,9.265747306
119.5796272,32.40041367,9.228584739
119.5796071,32.40041142,9.162993262
119.5795894,32.40040888,9.10404985
119.5795673,32.40040634,9.031465375
119.5795451,32.40040521,8.96079515
119.5795178,32.4004018,8.870643511
119.5795204,32.40038365,8.850554755
119.5795234,32.40036606,8.832415249
119.5795266,32.40033737,8.797911111
119.5795277,32.40031894,8.772564936
119.5795475,32.40031184,8.823042245
119.5795939,32.40030228,8.952345529
119.5796068,32.40030012,8.989115187
119.5796206,32.40030011,9.031987274
119.5796364,32.40029471,9.072494662
119.5796609,32.4002918,9.144321585
119.5796918,32.40028683,9.232575361
119.5797129,32.40028559,9.230186361
119.5797458,32.40028986,9.084959538
119.579781,32.4002666,9.112597245
119.5797878,32.4002459,9.196291877
119.5797824,32.40023806,9.247175213
119.5797541,32.40023359,9.336992492
119.5797248,32.40022992,9.390068063
119.5796798,32.40022403,9.297983192
119.5796405,32.40021678,9.129179064
119.5796507,32.40016645,9.401133385
119.5796717,32.40016768,9.441170881
119.5796776,32.40016891,9.450027267
119.5796805,32.40016188,9.474204167
119.5796844,32.40016105,9.484369625
119.5796864,32.40015816,9.495852902
119.5796883,32.40015279,9.51372746
119.5796913,32.40014453,9.541056902
119.5796947,32.4001338,9.57575528
119.5796977,32.40012638,9.600910347
119.5797006,32.4001132,9.640926245
119.5797006,32.40010661,9.657918963
119.5797016,32.40010003,9.676902104
119.5797007,32.40009326,9.692349185
119.5797007,32.40008711,9.70822724
119.5797012,32.4000793,9.729370944
119.5797022,32.40007314,9.747261773
119.5797022,32.40006739,9.762091508
119.5797042,32.40006247,9.778783212
119.5797046,32.40005713,9.79353789
119.5797071,32.40005016,9.813199286
119.5797071,32.40004442,9.827880671
119.5797081,32.40003992,9.841399716
119.5797081,32.40003255,9.860260025
119.5797047,32.40002803,9.864828858
119.5797038,32.40002271,9.876456616
119.5797023,32.40001534,9.892321396
119.5796989,32.40001042,9.897925796
119.5796922,32.40000017,9.910198017
119.5796912,32.39999241,9.928078849
119.5796879,32.39997849,9.956756067
119.579685,32.39996454,9.986491105
119.5796981,32.3999629,10.01755208
119.5797097,32.39996168,10.04477157
119.5797204,32.39995677,10.07955471
119.5797325,32.39994941,10.12365499
119.5797388,32.39994656,10.14407311
119.5797397,32.39993838,10.16719923
119.5797335,32.39993511,10.16263735
119.5797253,32.3999306,10.15724007
119.57972,32.3999257,10.1589039
119.5797166,32.39992283,10.15929067
119.5797166,32.3999114,10.18884876
119.5797166,32.39990202,10.21311073
119.5797186,32.39989428,10.2371361
119.5797196,32.39988491,10.26336201
119.5797302,32.39988168,10.29373027
119.5797384,32.39987804,10.32014304
119.5797509,32.39987441,10.35549819
119.5797605,32.399872,10.38170304
119.5797726,32.39986513,10.42439471
119.5797855,32.39985868,10.46797535
119.5797942,32.39985627,10.49211661
119.5798057,32.3998401,10.55772314
119.5798143,32.39983609,10.58598167
119.5798291,32.39982274,10.65121086
119.5798444,32.39982276,10.6829497
119.5798449,32.39981829,10.69544545
119.5798302,32.39981057,10.68481146
119.5798133,32.39980974,10.65182377
119.5797941,32.3998016,10.633074
119.5797888,32.399787,10.6598466
119.5797893,32.39977728,10.68594868
119.5797913,32.39974141,10.78257292
119.5797942,32.39970139,10.89194821
119.5798271,32.39969412,10.9788611
119.5798481,32.39967516,11.070823
119.5798628,32.39967316,11.1065215
119.5798714,32.39966953,11.1057322
119.5798784,32.399651,11.0397919
119.5798618,32.39965137,11.04079281
119.57985,32.3996394,10.99790649
119.5798514,32.39962061,10.93100677
119.579851,32.39962154,10.93432547
119.579851,32.39961016,10.89377839
119.5798629,32.39958537,10.8057327
119.5798767,32.39958536,10.85453223
119.5798872,32.39958212,10.89184726
119.5798939,32.39957322,10.91547135
119.579901,32.39956958,10.94085398
119.5799038,32.39955261,10.95076916
119.5799072,32.39954251,10.96247866
119.5799086,32.39953242,10.96740918
119.5799062,32.39951816,10.95874192
